0|400.000000|0.000000
1|399.000000|10.000000
2|399.000000|20.000000
3|398.000000|30.000000
4|397.000000|40.000000
5|396.000000|50.000000
6|395.000000|60.000000
7|393.000000|70.000000
8|391.000000|79.000000
9|389.000000|89.000000
10|387.000000|99.000000
11|384.000000|109.000000
12|381.000000|118.000000
13|378.000000|128.000000
14|375.000000|137.000000
15|371.000000|147.000000
16|368.000000|156.000000
17|364.000000|165.000000
18|359.000000|174.000000
19|355.000000|183.000000
20|350.000000|192.000000
21|345.000000|201.000000
22|340.000000|210.000000
23|335.000000|218.000000
24|329.000000|226.000000
25|323.000000|235.000000
26|317.000000|243.000000
27|311.000000|251.000000
28|304.000000|258.000000
29|298.000000|266.000000
30|291.000000|273.000000
31|284.000000|281.000000
32|277.000000|288.000000
33|270.000000|295.000000
34|262.000000|301.000000
35|254.000000|308.000000
36|247.000000|314.000000
37|239.000000|320.000000
38|231.000000|326.000000
39|222.000000|332.000000
40|214.000000|337.000000
41|205.000000|343.000000
42|197.000000|348.000000
43|188.000000|352.000000
44|179.000000|357.000000
45|170.000000|361.000000
46|161.000000|366.000000
47|151.000000|370.000000
48|142.000000|373.000000
49|133.000000|377.000000
50|123.000000|380.000000
51|114.000000|383.000000
52|104.000000|386.000000
53|94.000000|388.000000
54|84.000000|390.000000
55|74.000000|392.000000
56|65.000000|394.000000
57|55.000000|396.000000
58|45.000000|397.000000
59|35.000000|398.000000
60|25.000000|399.000000
61|15.000000|399.000000
62|5.000000|399.000000
63|-5.000000|399.000000
64|-15.000000|399.000000
65|-25.000000|399.000000
66|-35.000000|398.000000
67|-45.000000|397.000000
68|-55.000000|396.000000
69|-65.000000|394.000000
70|-74.000000|392.000000
71|-84.000000|390.000000
72|-94.000000|388.000000
73|-104.000000|386.000000
74|-114.000000|383.000000
75|-123.000000|380.000000
76|-133.000000|377.000000
77|-142.000000|373.000000
78|-151.000000|370.000000
79|-161.000000|366.000000
80|-170.000000|361.000000
81|-179.000000|357.000000
82|-188.000000|352.000000
83|-197.000000|348.000000
84|-205.000000|343.000000
85|-214.000000|337.000000
86|-222.000000|332.000000
87|-231.000000|326.000000
88|-239.000000|320.000000
89|-247.000000|314.000000
90|-254.000000|308.000000
91|-262.000000|301.000000
92|-270.000000|295.000000
93|-277.000000|288.000000
94|-284.000000|281.000000
95|-291.000000|273.000000
96|-298.000000|266.000000
97|-304.000000|258.000000
98|-311.000000|251.000000
99|-317.000000|243.000000
100|-323.000000|235.000000
101|-329.000000|226.000000
102|-335.000000|218.000000
103|-340.000000|210.000000
104|-345.000000|201.000000
105|-350.000000|192.000000
106|-355.000000|183.000000
107|-359.000000|174.000000
108|-364.000000|165.000000
109|-368.000000|156.000000
110|-371.000000|147.000000
111|-375.000000|137.000000
112|-378.000000|128.000000
113|-381.000000|118.000000
114|-384.000000|109.000000
115|-387.000000|99.000000
116|-389.000000|89.000000
117|-391.000000|79.000000
118|-393.000000|70.000000
119|-395.000000|60.000000
120|-396.000000|50.000000
121|-397.000000|40.000000
122|-398.000000|30.000000
123|-399.000000|20.000000
124|-399.000000|10.000000
125|-400.000000|0.000000
126|-399.000000|-10.000000
127|-399.000000|-20.000000
128|-398.000000|-30.000000
129|-397.000000|-40.000000
130|-396.000000|-50.000000
131|-395.000000|-60.000000
132|-393.000000|-70.000000
133|-391.000000|-79.000000
134|-389.000000|-89.000000
135|-387.000000|-99.000000
136|-384.000000|-109.000000
137|-381.000000|-118.000000
138|-378.000000|-128.000000
139|-375.000000|-137.000000
140|-371.000000|-147.000000
141|-368.000000|-156.000000
142|-364.000000|-165.000000
143|-359.000000|-174.000000
144|-355.000000|-183.000000
145|-350.000000|-192.000000
146|-345.000000|-201.000000
147|-340.000000|-210.000000
148|-335.000000|-218.000000
149|-329.000000|-226.000000
150|-323.000000|-235.000000
151|-317.000000|-243.000000
152|-311.000000|-251.000000
153|-304.000000|-258.000000
154|-298.000000|-266.000000
155|-291.000000|-273.000000
156|-284.000000|-281.000000
157|-277.000000|-288.000000
158|-270.000000|-295.000000
159|-262.000000|-301.000000
160|-254.000000|-308.000000
161|-247.000000|-314.000000
162|-239.000000|-320.000000
163|-231.000000|-326.000000
164|-222.000000|-332.000000
165|-214.000000|-337.000000
166|-205.000000|-343.000000
167|-197.000000|-348.000000
168|-188.000000|-352.000000
169|-179.000000|-357.000000
170|-170.000000|-361.000000
171|-161.000000|-366.000000
172|-151.000000|-370.000000
173|-142.000000|-373.000000
174|-133.000000|-377.000000
175|-123.000000|-380.000000
176|-114.000000|-383.000000
177|-104.000000|-386.000000
178|-94.000000|-388.000000
179|-84.000000|-390.000000
180|-74.000000|-392.000000
181|-65.000000|-394.000000
182|-55.000000|-396.000000
183|-45.000000|-397.000000
184|-35.000000|-398.000000
185|-25.000000|-399.000000
186|-15.000000|-399.000000
187|-5.000000|-399.000000
188|5.000000|-399.000000
189|15.000000|-399.000000
190|25.000000|-399.000000
191|35.000000|-398.000000
192|45.000000|-397.000000
193|55.000000|-396.000000
194|65.000000|-394.000000
195|74.000000|-392.000000
196|84.000000|-390.000000
197|94.000000|-388.000000
198|104.000000|-386.000000
199|114.000000|-383.000000
200|123.000000|-380.000000
201|133.000000|-377.000000
202|142.000000|-373.000000
203|151.000000|-370.000000
204|161.000000|-366.000000
205|170.000000|-361.000000
206|179.000000|-357.000000
207|188.000000|-352.000000
208|197.000000|-348.000000
209|205.000000|-343.000000
210|214.000000|-337.000000
211|222.000000|-332.000000
212|231.000000|-326.000000
213|239.000000|-320.000000
214|247.000000|-314.000000
215|254.000000|-308.000000
