0,554,42
1,570,43
2,586,43
3,602,46
11,618,50
23,538,52
21,634,57
10,522,57
9,554,58
19,570,59
18,586,59
20,602,62
25,506,62
27,650,63
44,618,66
56,490,68
48,666,72
36,634,73
43,554,74
54,570,75
59,538,75
79,586,75
80,474,76
68,602,78
71,650,79
60,522,79
69,618,82
75,506,84
82,682,85
66,458,85
58,666,88
40,634,89
34,554,90
32,570,91
33,538,91
35,586,91
37,490,91
41,602,94
26,442,95
14,650,95
4,522,95
6,618,98
17,698,99
31,474,99
47,506,100
57,682,101
46,666,104
39,634,105
24,492,106
13,426,106
16,554,106
30,570,107
28,538,107
45,583,107
42,458,108
73,602,110
64,504,110
67,650,111
72,522,111
77,442,112
84,477,112
65,618,114
61,535,115
55,585,119
74,711,121
63,634,121
53,520,121
51,695,121
50,461,122
52,488,122
62,414,123
81,471,123
76,679,124
78,724,125
88,602,126
92,504,126
89,553,127
83,663,128
94,568,129
102,440,129
99,457,129
96,537,130
95,520,131
93,621,132
91,647,135
87,403,138
101,425,141
103,734,142
111,586,142
112,615,145
106,438,146
108,723,147
109,599,148
110,707,149
114,630,149
125,691,150
123,675,153
122,392,155
120,430,157
119,659,158
124,413,158
117,736,163
116,643,164
127,748,167
128,382,171
136,402,174
130,720,177
132,418,177
134,704,178
135,688,179
137,672,182
142,752,182
148,736,185
146,376,186
143,656,187
140,392,193
145,764,195
144,754,198
141,407,199
151,728,201
162,712,204
161,370,204
154,696,204
160,680,206
167,743,207
153,664,210
155,392,213
157,771,216
158,759,218
166,407,219
173,726,221
169,364,222
168,711,223
180,381,223
179,695,224
177,679,226
174,743,228
171,663,230
172,396,232
182,408,240
187,722,243
196,770,243
195,659,244
183,707,245
184,755,245
186,738,246
191,691,246
193,366,247
190,674,250
198,382,252
204,400,255
208,771,263
215,408,263
221,728,266
232,756,267
218,712,269
224,370,269
216,697,269
206,679,271
203,393,271
201,746,276
197,765,279
220,777,281
231,365,283
227,382,285
225,399,285
229,682,285
244,731,286
268,714,288
258,700,290
262,413,295
273,770,300
277,784,301
283,689,301
281,753,301
276,358,304
267,390,305
266,737,306
246,374,307
250,721,308
242,705,309
238,404,311
249,793,318
245,778,321
261,762,321
263,346,324
241,746,325
223,802,327
233,379,328
213,362,329
212,697,330
230,730,331
228,394,332
211,714,333
202,406,333
200,793,337
199,802,339
217,446,340
214,681,341
235,777,342
240,761,343
254,460,344
260,745,345
252,478,348
253,665,348
239,381,350
219,494,351
222,347,351
243,649,352
251,399,352
247,365,352
256,729,353
265,713,353
271,697,354
275,793,355
270,633,356
284,522,358
278,778,359
272,549,360
274,762,360
279,464,360
280,617,361
290,746,362
289,681,364
291,536,366
302,490,368
300,390,368
303,474,368
311,730,368
314,506,369
318,714,369
313,459,369
305,602,369
293,698,370
286,353,370
287,792,371
298,374,372
295,407,372
299,650,374
312,763,375
316,781,376
307,684,378
301,634,378
294,747,378
288,521,379
285,666,379
297,619,383
304,723,386
310,390,387
315,651,387
309,633,388
319,738,389
320,772,389
326,757,389
332,795,389
327,362,389
321,707,389
335,381,390
341,591,390
348,416,390
354,788,392
355,676,395
352,607,396
338,690,396
339,373,403
330,701,403
325,623,405
329,635,405
340,546,405
334,386,407
323,749,408
324,717,409
336,772,409
347,600,412
346,787,412
356,732,413
360,646,417
361,615,420
357,764,421
342,781,423
331,790,426
328,645,427
322,391,427
333,631,429
337,748,430
345,597,433
350,732,435
363,716,437
370,614,443
377,765,446
384,780,446
382,749,448
381,391,448
378,733,452
374,630,452
372,702,455
375,406,457
373,598,457
364,718,458
376,686,460
368,765,461
367,644,463
351,749,463
343,773,466
344,614,466
358,732,468
366,395,471
369,663,474
365,414,475
371,630,475
359,600,476
362,760,478
379,697,478
380,712,480
386,745,483
394,616,484
399,680,484
411,408,486
421,728,488
431,632,490
427,647,492
430,599,497
449,757,500
454,696,500
466,712,502
475,664,504
498,634,504
515,615,504
528,744,505
531,679,509
546,649,510
533,728,511
522,631,514
506,755,515
494,696,516
484,590,517
486,712,518
463,744,521
462,664,521
448,647,522
478,682,524
491,606,526
497,728,527
517,575,528
513,558,528
544,755,530
534,697,531
563,712,532
594,623,534
633,421,536
690,744,537
701,591,539
656,671,539
662,412,540
664,639,542
618,655,544
613,687,544
602,730,544
574,548,545
548,515,551
552,703,552
579,718,553
565,501,554
596,748,554
585,612,555
589,532,555
611,564,556
575,580,557
568,596,558
600,548,560
644,735,560
655,516,562
630,662,563
621,629,564
637,677,565
686,645,569
706,601,571
669,742,572
707,694,572
696,507,573
687,495,574
678,710,580
658,725,581
620,619,583
634,740,584
593,670,587
560,489,589
551,654,590
582,637,592
591,606,593
624,685,593
601,446,601
570,622,602
558,461,602
532,479,602
540,701,602
514,589,603
500,717,605
518,669,607
526,488,607
530,734,607
537,573,610
549,747,610
542,557,612
520,653,613
516,637,614
505,609,614
488,577,618
485,463,621
474,594,621
453,673,621
459,480,621
464,689,624
480,445,625
487,752,627
489,722,628
503,465,630
523,625,630
493,609,631
511,737,631
509,657,632
502,492,632
481,705,633
469,769,636
461,641,637
444,673,641
429,753,643
418,479,643
406,448,644
409,607,646
407,464,647
403,493,647
401,625,647
396,689,647
389,721,648
383,785,649
392,737,650
388,769,652
387,657,653
385,705,655
390,673,656
395,801,656
397,639,656
400,623,657
402,591,659
414,691,659
419,753,659
415,815,659
422,573,661
412,464,663
410,658,663
398,448,663
404,721,664
405,785,665
417,480,665
432,833,665
443,639,665
456,736,666
442,705,667
424,769,668
420,816,668
425,605,669
440,558,670
438,543,672
450,754,673
472,687,673
470,493,673
465,719,675
445,857,676
433,622,678
439,671,678
458,464,679
479,655,679
467,448,679
452,799,680
434,480,681
436,873,681
457,842,681
446,580,682
426,703,682
423,751,685
437,638,686
435,889,687
441,826,688
447,511,688
460,783,688
455,528,689
477,735,689
483,767,692
501,719,692
525,857,692
553,596,693
580,464,694
557,689,694
538,496,694
510,905,694
490,448,695
468,611,695
476,480,696
499,873,697
519,810,700
541,841,702
524,648,702
504,706,702
482,889,703
495,752,704
512,512,704
508,435,705
536,930,707
547,665,707
559,857,708
577,681,709
598,915,710
626,629,710
665,825,710
689,468,710
651,735,710
628,613,711
652,794,711
673,873,713
703,720,714
728,419,714
767,527,715
802,697,717
845,899,718
868,841,718
918,778,718
968,451,718
1030,483,719
1086,953,719
1142,762,720
1106,500,720
1053,809,722
996,537,722
939,649,723
888,403,723
839,938,723
816,746,724
774,857,724
747,969,725
704,825,726
679,883,726
714,713,727
743,435,727
781,634,727
807,467,727
853,515,728
905,922,730
958,665,731
1011,730,731
1072,387,733
1045,793,733
1016,681,733
989,841,734
940,992,734
889,953,735
840,419,737
792,867,737
746,809,738
762,906,738
811,777,739
856,1008,740
907,977,740
960,649,740
992,371,740
935,697,740
885,451,741
836,483,741
786,761,741
757,499,741
715,825,742
695,435,743
735,937,743
713,467,743
674,666,745
660,745,746
698,403,746
717,890,746
760,1027,747
805,683,747
850,851,749
904,355,749
954,793,749
921,510,749
875,961,749
829,713,750
779,992,750
734,921,750
693,1043,752
671,729,753
631,419,753
608,809,754
622,1012,755
643,777,755
607,640,755
587,1059,755
572,699,755
555,387,755
529,874,756
539,451,757
562,760,757
584,835,757
612,656,757
648,483,757
667,339,757
708,499,757
751,1075,758
798,905,758
843,945,759
890,435,759
851,467,759
815,744,760
771,976,760
725,672,761
681,403,762
640,1091,762
619,1027,763
586,371,763
554,688,764
561,996,765
592,793,765
578,715,765
616,929,766
657,323,766
699,819,766
739,1107,766
784,889,767
824,1043,768
790,858,768
754,419,769
709,729,769
668,960,770
627,511,770
588,634,771
595,777,771
635,1059,771
675,387,771
719,704,772
752,355,772
716,451,773
685,1011,773
645,483,773
606,499,773
615,913,774
625,757,774
654,1075,774
688,307,774
663,435,775
650,980,775
712,467,775
737,1129,776
769,873,777
801,842,777
830,403,778
844,1091,778
797,742,778
776,653,778
822,1027,779
870,803,779
920,371,779
895,944,779
949,339,780
971,669,781
1004,1117,781
1031,684,781
1088,897,782
1066,510,783
1129,995,783
1164,1043,784
1186,721,784
1219,291,784
1171,964,785
1109,419,785
1048,826,785
987,928,786
934,1059,787
884,387,787
864,355,788
841,787,788
880,857,788
903,451,789
919,1011,789
970,483,789
1027,323,789
1087,498,790
1151,1075,790
1215,701,790
1265,770,791
1316,1101,791
1266,881,791
1202,627,791
1196,435,791
1257,467,791
1320,979,793
1364,403,794
1425,912,794
1462,752,794
1473,275,794
1420,948,795
1383,1027,795
1337,371,795
1302,645,795
1270,339,796
1346,810,797
1385,841,798
1403,307,798
1439,716,798
1463,735,799
1539,995,799
1551,1043,800
1499,493,800
1529,419,801
1540,1127,801
1515,932,802
1492,865,802
1501,896,802
1555,1085,803
1495,963,803
1503,682,803
1552,1059,803
1491,259,803
1500,387,803
1521,665,803
1547,355,804
1520,451,805
1533,1011,805
1516,483,805
1543,323,805
1482,825,806
1502,435,807
1517,467,807
1498,291,808
1524,585,808
1550,794,809
1553,979,809
1561,916,809
1545,403,810
1504,1111,810
1506,617,810
1488,1027,811
1470,698,811
1451,371,811
1438,633,811
1454,880,811
1442,339,812
1485,243,812
1466,947,813
1468,849,813
1453,307,814
1416,600,814
1445,650,815
1418,995,815
1384,1069,815
1435,778,815
1405,1043,816
1423,762,816
1478,419,817
1452,900,817
1397,809,818
1335,275,818
1268,963,819
1240,387,819
1306,931,820
1368,746,820
1422,355,820
1481,483,820
1456,451,821
1399,833,821
1338,714,821
1275,1095,821
1208,492,821
1178,1011,821
1247,227,821
1310,323,821
1371,864,822
1427,435,823
1395,1127,823
1329,467,823
1272,291,824
1206,979,825
1137,403,826
1099,884,826
1170,259,826
1234,729,826
1292,1027,827
1359,371,827
1414,915,827
1448,339,828
1434,672,828
1381,476,828
1319,1053,828
1252,575,829
1194,947,829
1130,793,829
1060,307,830
1022,211,830
1084,817,831
1148,1112,831
1213,995,831
1277,688,832
1341,419,833
1401,1079,833
1450,848,833
